,Set 0,Set 1,Set 2,Set 3,Set 4,Set 5,Set 6,Set 7,Set 8
0,0.48264400000012786,0.6610353999995215,1.0707361000005187,2.4770548999970936,7.601946099998382,5.913480500000836,7.981393199997289,3.9133497000079354,2.4777362000049137
1,0.4765961000000656,0.6606248999995598,1.074193700000648,2.4584219999966352,7.609789099998528,5.886825200000904,8.069530899997389,4.384104800006958,2.8472029000068395
2,0.4825000000001274,0.6670577999995083,1.069333200000492,2.4656015999969907,7.613621999998429,5.867738000000819,7.9758160999976635,3.966505800008088,2.488779900005029
3,0.5154826000001878,0.7221300999993708,1.198631800001255,2.636680899997508,7.317928699998947,6.056353800000653,8.269301499997265,4.110694600008355,2.6398515000057596
4,0.5576590999998984,0.8362452999992214,1.4225147000033753,3.0399244999975354,8.623965899996932,7.171116799998665,9.832934899991603,5.274284000002431,4.08419250000995
5,0.5561266999999075,0.8323019999992194,1.4261197000033414,3.0589630999977087,8.672816599996759,7.0879947999989055,9.82085219999164,5.328135200002189,4.0973513000099615
6,0.5136663000001913,0.7235077999993842,1.1924225000012036,2.6047941999975097,7.316226299998776,6.092148300000455,8.140765299997316,4.095566600008321,2.6494051000059464
7,0.5159349000001539,0.7788420999993325,1.3248953000029624,3.1421212999975214,9.091781199995644,6.903764999999214,9.421173699993886,4.5475897000057115,4.196856600009888
8,0.4774156000001355,0.7601996999994822,1.3052367000035248,3.050008499996917,8.737640499997239,6.735194199999522,9.361382699994527,4.834647900003805,5.3672722000015884
9,0.5140693000001587,0.7789339999993421,1.319285500002874,3.140546199997657,9.129355799995405,7.053859699999047,9.481760599993756,4.527272600005509,4.187165800009898
10,0.48798460000018573,0.6822635999994756,1.118135000000916,2.463157499997084,7.6528722999983705,6.669029699999102,8.77903139999555,4.088461100008163,2.669211100006294
11,0.49723080000003217,0.7437223999994553,1.2579284000030793,2.7592176999963063,8.505190299998281,8.158257699998241,10.927320299992624,5.296787200001138,4.075030800009944
12,0.49523420000003743,0.7478518999994737,1.2452765000029833,2.7553621999962625,8.549280799997852,8.204361299997956,10.873543299992441,5.311808600001051,4.092006500010055
13,0.4869574000001601,0.6867851999994801,1.111998900000849,2.441207099997031,7.585683399998323,6.616979299998981,8.791475999995281,4.097785600008227,2.67806660000635
14,0.4840870000001778,0.677080599999498,1.1208329000008623,2.557835699997319,8.057478299997927,6.245489899999643,8.13791249999701,3.937503900008052,2.8584014000073976
15,0.5003141000001261,0.7232961999994578,1.1930016000016643,2.7852216999969435,8.700409299996588,6.907636699998386,9.116165499994509,4.391101700006618,3.3987738000092844
16,0.4841975000001457,0.6737686999995068,1.1103279000008164,2.586707999997203,8.02606989999812,6.197395799999905,8.2094933999973,3.946106100007951,2.846525000007322
